Created on 07-22-2018,http://www.CryptoDataDownload.com,,,,,,
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-07-12 08-AM,NEOUSD,31.63,32.1,31.55,32,224.48,7123.03
2018-07-12 07-AM,NEOUSD,31.76,32.12,31.35,31.63,336.06,10601.63
2018-07-12 06-AM,NEOUSD,32.94,32.94,31.48,31.76,2273.43,72679.51
2018-07-12 05-AM,NEOUSD,33.11,33.12,32.7,32.94,27.42,899.44
2018-07-12 04-AM,NEOUSD,33.21,33.22,33.11,33.11,21.47,713.19
2018-07-12 03-AM,NEOUSD,32.96,33.22,32.96,33.21,77.74,2580.25
2018-07-12 02-AM,NEOUSD,33.03,33.22,32.7,32.96,338.32,11194.03
2018-07-12 01-AM,NEOUSD,33.56,33.81,33.03,33.03,39.6,1314.11
2018-07-12 12-AM,NEOUSD,33.82,33.82,33.44,33.68,87.35,2939.74
2018-07-11 11-PM,NEOUSD,33.33,33.82,33.33,33.82,83.59,2813.86
2018-07-11 10-PM,NEOUSD,33.46,33.7,33.3,33.33,8.92,298.75
2018-07-11 09-PM,NEOUSD,33.27,33.46,33,33.46,134.51,4460
2018-07-11 08-PM,NEOUSD,32.7,33.27,32.7,33.27,26.56,882.03
2018-07-11 07-PM,NEOUSD,33.16,33.16,32.5,32.7,123.24,4019.66
2018-07-11 06-PM,NEOUSD,33.03,33.25,32.8,33.16,74.23,2450.08
2018-07-11 05-PM,NEOUSD,33.18,33.38,33.02,33.03,320.76,10681.82
2018-07-11 04-PM,NEOUSD,33.55,33.55,32.85,33.18,829.44,27380.67
2018-07-11 03-PM,NEOUSD,33.97,33.97,33.38,33.55,1207.99,40789.37
2018-07-11 02-PM,NEOUSD,33.9,34.05,33.54,33.97,2488.08,84162.39
2018-07-11 01-PM,NEOUSD,33.78,34.05,33.6,33.9,302.78,10203.42
2018-07-11 12-PM,NEOUSD,33.7,33.9,33.28,33.78,4419.92,148978.35
2018-07-11 11-AM,NEOUSD,33.31,33.7,33,33.7,2829.37,95311.35
2018-07-11 10-AM,NEOUSD,32.79,33.33,32.79,33.31,8.59,286.04
2018-07-11 09-AM,NEOUSD,33.63,33.63,32.75,32.79,286.28,9468.72
2018-07-11 08-AM,NEOUSD,33.22,33.63,33,33.63,192.99,6420.21
2018-07-11 07-AM,NEOUSD,32.35,33.23,32.15,33.22,749.11,24373.81
2018-07-11 06-AM,NEOUSD,32.6,32.6,32,32.35,307.25,9897.67
2018-07-11 05-AM,NEOUSD,33.34,33.34,32,32.6,448.22,14538.63
2018-07-11 04-AM,NEOUSD,33.46,33.69,32.76,33.34,537.14,17844.56
2018-07-11 03-AM,NEOUSD,34.26,34.26,33.46,33.46,213.57,7246
2018-07-11 02-AM,NEOUSD,34.13,34.3,33.6,34.26,933.01,31643.52
2018-07-11 01-AM,NEOUSD,34.6,34.6,33.78,34.13,375.52,12775.16
2018-07-11 12-AM,NEOUSD,33.3,34.6,33.16,34.6,431.33,14688.67
2018-07-10 11-PM,NEOUSD,34.31,34.31,32.84,33.3,1215.56,40469.93
2018-07-10 10-PM,NEOUSD,34.68,34.71,34.01,34.31,755.78,25934.97
2018-07-10 09-PM,NEOUSD,34.74,35.21,34.4,34.68,509.18,17792.57
2018-07-10 08-PM,NEOUSD,34.62,34.9,34.44,34.74,382.2,13262.79
2018-07-10 07-PM,NEOUSD,34.27,34.8,34.27,34.62,262.34,9054.14
2018-07-10 06-PM,NEOUSD,34.2,34.5,33.9,34.27,251.91,8632.22
2018-07-10 05-PM,NEOUSD,34,34.25,33.7,34.2,401.66,13589.83
2018-07-10 04-PM,NEOUSD,34.24,34.5,34,34,400.74,13706.53
2018-07-10 03-PM,NEOUSD,34.56,34.56,34,34.24,415.38,14217.55
2018-07-10 02-PM,NEOUSD,34.55,34.71,33.78,34.56,576.7,19792.44
2018-07-10 01-PM,NEOUSD,34.49,34.88,34.24,34.55,651.5,22458.45
2018-07-10 12-PM,NEOUSD,33.56,34.49,33.56,34.49,1493.91,50970.49
2018-07-10 11-AM,NEOUSD,34.03,34.25,32.94,33.56,2061.37,69044.77
2018-07-10 10-AM,NEOUSD,33.9,34.39,33.33,34.03,1645.8,55770.8
2018-07-10 09-AM,NEOUSD,34.64,34.86,33.65,33.9,3400.45,115834.41
2018-07-10 08-AM,NEOUSD,34.92,35.3,34.55,34.64,606.45,21198.91
2018-07-10 07-AM,NEOUSD,34.68,34.95,34.6,34.92,466.16,16254.6
2018-07-10 06-AM,NEOUSD,35,35.04,34.4,34.68,655.9,22729.7
2018-07-10 05-AM,NEOUSD,35.34,35.75,35,35,2520.49,88832.1
2018-07-10 04-AM,NEOUSD,35.05,35.34,34.73,35.34,523.49,18367.48
2018-07-10 03-AM,NEOUSD,34.66,35.31,34.5,35.05,620.04,21623.07
2018-07-10 02-AM,NEOUSD,35.64,35.77,34.3,34.66,4594.02,160025.98
2018-07-10 01-AM,NEOUSD,36.64,36.64,35.64,35.64,438.55,15786.51
2018-07-10 12-AM,NEOUSD,36.28,36.68,35.7,36.64,1761.12,63570.32
2018-07-09 11-PM,NEOUSD,37.73,37.73,36.18,36.28,2967.57,109815.59
2018-07-09 10-PM,NEOUSD,37.73,38.5,37.23,37.73,643.37,24358.56
2018-07-09 09-PM,NEOUSD,37.35,37.73,37.2,37.73,298.72,11155.25
2018-07-09 08-PM,NEOUSD,37.73,37.73,37.34,37.35,454.92,17055.39
2018-07-09 07-PM,NEOUSD,37.4,37.73,37.4,37.73,90.64,3394.16
2018-07-09 06-PM,NEOUSD,37.15,37.5,36.7,37.4,950.49,35158.83
2018-07-09 05-PM,NEOUSD,37.78,37.78,37.07,37.15,1339.99,50162.59
2018-07-09 04-PM,NEOUSD,38.62,38.62,37.58,37.78,1336.64,50955.24
